Saint,Birth Location: Specific,Birth Region,Birth Country,Latitude,Longitude,Birth Region Latitude,Birth Region Longitude
Ninian,,Britain,Britain,,,54.3151594,-1.9181532
Columba,Donegal,Ulster,Ireland,,,54.5742433,-6.9481599
Kentigern,,Fifeshire,Scotland,,,43.7569753,-79.3882616
Servanus,,Israel,Israel,,,30.8124247,34.8594762
Margaret,,Hungary,Hungary,,,47.1817585,19.5060937
Brigid,Uinmeras,Leinster,Ireland,,,53.118465,-6.9918183
Ite,Waterford,Munster,Ireland,,,51.9625101,7.6251879
Abban,,Leinster,Ireland,,,53.118465,-6.9918183
Bairre of Cork,Cork,Munster,Ireland,,,51.9625101,7.6251879
Berach,Leitrim,Connaught,Ireland,,,51.0410667,-114.082943
Ciaran of Saigher,West Cork,Munster,Ireland,,,51.9625101,7.6251879
Coemgen,Glendalough,Leinster,Ireland,,,53.118465,-6.9918183
Maedoc,,Connaught,Ireland,,,51.0410667,-114.082943
Mochuda,River Maine,Ulster,Ireland,,,54.5742433,-6.9481599
Ruadan,,Munster,Ireland,,,51.9625101,7.6251879
Darerca,Louth,Leinster,Ireland,,,53.118465,-6.9918183
Samthann,,Ulster,Ireland,,,54.5742433,-6.9481599
Brendan of Clonfert,,Munster,Ireland,,,51.9625101,7.6251879
Gillenius,,Leinster,Ireland,,,53.118465,-6.9918183
Colman Ela,,Leinster,Ireland,,,53.118465,-6.9918183
Adamnan,Donegal,Ulster,Ireland,,,54.5742433,-6.9481599
